actor,name,year,variable,type,BirthYear,gender,age
古古·姆巴塔-劳,黑镜 第三季 Black Mirror Season 3,2016,actor1,drama,1983,女,33
哈尔·斯帕克斯,同志亦凡人 第二季 Queer as Folk Season 2,2002,actor3,drama,1969,男,33
哈尔·斯帕克斯,同志亦凡人 第一季 Queer as Folk Season 1,2000,actor1,drama,1969,男,31
海顿·潘妮蒂尔,英雄 第一季 Heroes Season 1,2006,actor2,drama,1989,女,17
豪尔赫·加西亚,迷失 第一季 Lost Season 1,2004,actor2,drama,1973,男,31
基弗·萨瑟兰,24小时  第一季 24 Season 1,2001,actor1,drama,1966,男,35
基特·哈灵顿,权力的游戏 第四季 Game of Thrones Season 4,2014,actor5,drama,1986,男,28
基特·哈灵顿,权力的游戏 第七季 Game of Thrones Season 7,2017,actor2,drama,1986,男,31
基特·哈灵顿,权力的游戏 第五季 Game of Thrones Season 5,2015,actor3,drama,1986,男,29
吉姆·卡维泽,疑犯追踪  第一季 Person of Interest Season 1,2011,actor2,drama,1968,男,43
吉姆·帕森斯,生活大爆炸 第六季 The Big Bang Theory Season 6,2012,actor2,drama,1973,男,39
吉姆·帕森斯,生活大爆炸  第一季 The Big Bang Theory Season 1,2007,actor1,drama,1973,男,34
吉姆·帕森斯,生活大爆炸  第三季 The Big Bang Theory Season 3,2009,actor2,drama,1973,男,36
吉姆·帕森斯,生活大爆炸 第十二季 The Big Bang Theory Season 12,2018,actor1,drama,1973,男,45
吉姆·帕森斯,生活大爆炸  第五季 The Big Bang Theory Season 5,2011,actor2,drama,1973,男,38
吉姆·帕森斯,生活大爆炸  第二季 The Big Bang Theory Season 2,2008,actor1,drama,1973,男,35
吉姆·帕森斯,生活大爆炸 第七季 The Big Bang Theory Season 7,2013,actor2,drama,1973,男,40
吉姆·帕森斯,生活大爆炸  第四季 The Big Bang Theory Season 4,2010,actor2,drama,1973,男,37
吉娜·托瑞斯,萤火虫 Firefly,2002,actor2,drama,1969,女,33
贾斯蒂恩·瓦戴尔,锦绣佳人 Wives and Daughters,1999,actor1,drama,1976,女,23
杰夫·丹尼尔斯,新闻编辑室 第一季 The Newsroom Season 1,2012,actor1,drama,1955,男,57
杰克·科尔曼,英雄 第一季 Heroes Season 1,2006,actor1,drama,1958,男,48
杰米·克莱顿,超感猎杀 第一季 Sense8 Season 1,2015,actor2,drama,1978,女,37
杰森·贝特曼,发展受阻 第一季 Arrested Development Season 1,2003,actor1,drama,1969,男,34
杰森·席格尔,怪胎与书呆 Freaks and Geeks,1999,actor5,drama,1980,男,19
杰森·席格尔,老爸老妈的浪漫史 第二季 How I Met Your Mother Season 2,2006,actor5,drama,1980,男,26
杰森·席格尔,老爸老妈的浪漫史 第一季 How I Met Your Mother Season 1,2005,actor2,drama,1980,男,25
杰西·普莱蒙,黑镜 第四季 Black Mirror Season 4,2017,actor1,drama,1988,男,29
杰西卡·布朗·芬德利,名姝 第二季 Harlots Season 2,2018,actor2,drama,1989,女,29
金·凯特罗尔,欲望都市  第二季 Sex and the City Season 2,1999,actor2,drama,1956,女,43
金·凯特罗尔,欲望都市 第六季 Sex and the City Season 6,2003,actor2,drama,1956,女,47
金·凯特罗尔,欲望都市 第三季 Sex and the City Season 3,2000,actor2,drama,1956,女,44
金·凯特罗尔,欲望都市 第四季 Sex and the City Season 4,2001,actor2,drama,1956,女,45
金·凯特罗尔,欲望都市  第五季 Sex and the City Season 5,2002,actor2,drama,1956,女,46
